Sample,ROI,Amplitude_mean,Amplitude_std,APD50_s_mean,APD50_s_std,APD90_s_mean,APD90_s_std,APD50_90_Ratio_mean,APD50_90_Ratio_std,Upstroke_Time_s_mean,Upstroke_Time_s_std,Repolarization_Time_s_mean,Repolarization_Time_s_std
CRISPH222P_PreISO006,#1 (Mono - Tx Red),0.007930719,0.000516374,0.22,0.041952354,0.368333333,0.070545494,0.614622153,0.146547029,0.101666667,0.031885211,4.204666667,3.077984059
CRISPH222P_PreISO006,#2 (Mono - Tx Red),0.01006167,0.001614948,0.270333333,0.047751884,0.352,0.060434788,0.769060422,0.053217982,0.127666667,0.044534631,5.465,2.788089962
CRISPH222P_PreISO006,#3 (Mono - Tx Red),0.008373884,0.002303038,0.245636364,0.058713325,0.363818182,0.08119214,0.683807055,0.12595117,0.127363636,0.043822991,5.919,3.08084047
CRISPH222P_PreISO006,#4 (Mono - Tx Red),0.007751894,0.001825245,0.234666667,0.040413488,0.328,0.054915845,0.719613298,0.08442294,0.1,0.021213203,5.494111111,3.263987379
CRISPH222P_PreISO006,#5 (Mono - Tx Red),0.007486496,0.002023149,0.259125,0.037714861,0.397875,0.110613145,0.686620646,0.168913696,0.097625,0.037675068,6.433625,2.638279523
CRISPH222P_PreISO006,#6 (Mono - Tx Red),0.008550743,0.000793107,0.22525,0.01017759,0.34275,0.029159047,0.659610517,0.046032438,0.09775,0.015283433,6.97275,2.292561068
CRISPH222P_PreISO006,#7 (Mono - Tx Red),0.009128851,0.002590792,0.278583333,0.06686412,0.368583333,0.095145304,0.770981795,0.12181756,0.111666667,0.039733964,5.431583333,2.494968626
CRISPH222P_PreISO006,#8 (Mono - Tx Red),0.007906103,0.000942644,0.2484,0.052428152,0.3634,0.091072865,0.707208742,0.157655542,0.1211,0.04201706,5.0299,2.5416452
CRISPH222P_PreISO006,#9 (Mono - Tx Red),0.010864143,0.001317993,0.287230769,0.043516575,0.389538462,0.08503001,0.750797503,0.085165021,0.146230769,0.049963576,4.645846154,2.621222483
CRISPH222P_PreISO006,#10 (Mono - Tx Red),0.009398614,0.003279902,0.2985,0.031392674,0.885666667,0.131385945,0.342766758,0.054505723,0.153333333,0.049261209,6.214833333,3.165042459
CRISPH222P_PreISO007,#1 (Mono - Tx Red),0.008270697,0.000575495,0.234846154,0.02400988,0.330230769,0.061767243,0.725793709,0.097586301,0.119384615,0.025293406,5.809,2.464606426
CRISPH222P_PreISO007,#2 (Mono - Tx Red),0.006421263,0.000651549,0.231,0.035011903,0.324923077,0.054458641,0.716507805,0.075980288,0.121692308,0.030909504,5.478846154,2.587665642
CRISPH222P_PreISO007,#3 (Mono - Tx Red),0.009494178,0.000454525,0.25525,0.024368851,0.335333333,0.043256809,0.76826618,0.082287477,0.127583333,0.020694568,5.249,2.967537577
CRISPH222P_PreISO007,#4 (Mono - Tx Red),0.008921068,0.000605238,0.226916667,0.020201073,0.298583333,0.042253474,0.766847723,0.066345885,0.115083333,0.019190236,5.936166667,2.888714021
CRISPH222P_PreISO007,#5 (Mono - Tx Red),0.00773761,0.000754642,0.225166667,0.019912688,0.31275,0.046526874,0.728446403,0.073063051,0.116,0.01776104,5.640166667,2.54947773
CRISPH222P_PreISO007,#6 (Mono - Tx Red),0.011004524,0.000627571,0.2414375,0.022015052,0.322125,0.034245924,0.752666812,0.057947482,0.1350625,0.019682374,4.751125,2.598519678
CRISPH222P_PreISO007,#7 (Mono - Tx Red),0.010657681,0.000851692,0.234692308,0.024039497,0.330153846,0.041814762,0.716360856,0.074258074,0.123923077,0.01839593,4.824384615,2.131518846
CRISPH222P_PreISO007,#8 (Mono - Tx Red),0.009652532,0.000686809,0.240076923,0.026458967,0.341769231,0.049059749,0.710089499,0.086744311,0.133153846,0.020999389,4.925307692,2.674363862
CRISPH222P_PreISO007,#9 (Mono - Tx Red),0.009699251,0.000639821,0.238769231,0.023029524,0.337384615,0.050626967,0.72145091,0.11659958,0.116461538,0.015114096,5.534307692,2.64639262
CRISPH222P_PreISO007,#10 (Mono - Tx Red),0.006816711,0.000844092,0.229333333,0.025755258,0.315166667,0.054105677,0.739835709,0.096848569,0.120083333,0.020891313,5.337333333,2.559661282
CRISPH222P_PreISO008,#1 (Mono - Tx Red),0.004962103,0.000305355,0.240363636,0.016620907,0.334909091,0.033164603,0.721093358,0.053922977,0.120090909,0.026383535,4.722727273,3.080855079
CRISPH222P_PreISO008,#2 (Mono - Tx Red),0.005600159,0.000442526,0.2303,0.020661559,0.3363,0.063478868,0.69916577,0.092727706,0.117,0.025841397,5.4452,2.953211653
CRISPH222P_PreISO008,#3 (Mono - Tx Red),0.005438997,0.000409449,0.232090909,0.023568855,0.318545455,0.029766974,0.730494413,0.059878451,0.11,0.014832397,4.403454545,3.210602727
CRISPH222P_PreISO008,#4 (Mono - Tx Red),0.004913473,0.000428737,0.23375,0.023112865,0.343833333,0.034363917,0.683304533,0.071490088,0.114166667,0.027455198,5.85375,2.843800694
CRISPH222P_PreISO008,#5 (Mono - Tx Red),0.004656799,0.000405719,0.225857143,0.013909572,0.341571429,0.052063606,0.671362002,0.083969741,0.107285714,0.018927179,4.986571429,3.690977777
CRISPH222P_PreISO008,#6 (Mono - Tx Red),0.00475951,0.000319258,0.230307692,0.022990522,0.334923077,0.035153145,0.692532552,0.080305734,0.116384615,0.022570403,4.732076923,3.056425185
CRISPH222P_PreISO008,#7 (Mono - Tx Red),0.004268552,0.000312015,0.222090909,0.042889287,0.332909091,0.057713871,0.670511142,0.112466809,0.115545455,0.028500399,4.313090909,3.03271741
CRISPH222P_PreISO008,#8 (Mono - Tx Red),0.005026737,0.000354635,0.2302,0.02683601,0.321666667,0.043328754,0.719221154,0.055606439,0.109466667,0.02446241,4.9138,2.910635797
CRISPH222P_PreISO008,#9 (Mono - Tx Red),0.006242086,0.000377801,0.24275,0.017612625,0.342833333,0.036961487,0.713821073,0.07470424,0.120083333,0.025973617,5.044666667,3.362496187
CRISPH222P_PreISO008,#10 (Mono - Tx Red),0.005240614,0.000227032,0.234416667,0.033963773,0.35525,0.047493779,0.665085388,0.09065506,0.10675,0.024185364,4.892916667,3.093309921
CRISPH222P_PreISO009,#1 (Mono - Tx Red),0.012005067,0.000343582,0.260230769,0.018489429,0.391153846,0.046357031,0.673092122,0.085348463,0.090923077,0.015574881,6.151615385,2.632559323
CRISPH222P_PreISO009,#2 (Mono - Tx Red),0.014779562,0.000456982,0.2622,0.022944654,0.377733333,0.037176157,0.697686903,0.065673114,0.0802,0.013099618,5.7798,2.83530276
CRISPH222P_PreISO009,#3 (Mono - Tx Red),0.009080969,0.000504067,0.274769231,0.018317359,0.405538462,0.068740594,0.690377833,0.088377019,0.086307692,0.020945901,4.870538462,2.943091957
CRISPH222P_PreISO009,#4 (Mono - Tx Red),0.011851199,0.000350755,0.267428571,0.019594796,0.435428571,0.059091473,0.626605989,0.111020139,0.092928571,0.018975548,5.061785714,2.794679731
CRISPH222P_PreISO009,#5 (Mono - Tx Red),0.011362041,0.000344464,0.2676875,0.021752299,0.3998125,0.032747964,0.673119102,0.070407587,0.0926875,0.018916373,5.5361875,2.899064176
CRISPH222P_PreISO009,#6 (Mono - Tx Red),0.013272039,0.000466358,0.2633125,0.022872746,0.3490625,0.025678704,0.75559117,0.054548675,0.0858125,0.014882736,5.1389375,3.157507043
CRISPH222P_PreISO009,#7 (Mono - Tx Red),0.011054349,0.000357114,0.2683125,0.021287614,0.369625,0.042896581,0.732273741,0.07943336,0.08325,0.015347095,5.3709375,3.085736205
CRISPH222P_PreISO009,#8 (Mono - Tx Red),0.02110223,0.000444674,0.2689375,0.020107938,0.39725,0.031522479,0.681044639,0.073932015,0.086375,0.012032595,5.0044375,2.973251194
CRISPH222P_PreISO009,#9 (Mono - Tx Red),0.010213267,0.000627895,0.26625,0.021054583,0.461333333,0.056314593,0.586212287,0.095815967,0.074416667,0.01239104,4.316666667,2.713324574
CRISPH222P_PreISO009,#10 (Mono - Tx Red),0.01292457,0.000388071,0.268470588,0.024062724,0.385705882,0.05322918,0.70443915,0.086366649,0.088882353,0.022610513,4.992705882,2.969380802
CRISPH222P_PreISO010,#1 (Mono - Tx Red),0.008868772,0.000640741,0.257285714,0.017843027,0.358142857,0.044786428,0.730832823,0.114071273,0.095071429,0.021663384,5.119642857,3.09656896
CRISPH222P_PreISO010,#2 (Mono - Tx Red),0.007361102,0.000525577,0.263727273,0.016876557,0.391090909,0.060917082,0.692922495,0.134644002,0.097272727,0.020045403,5.807090909,2.764590113
CRISPH222P_PreISO010,#3 (Mono - Tx Red),0.00693744,0.000193464,0.247545455,0.029149146,0.334909091,0.049233027,0.745342879,0.081210633,0.092818182,0.015078582,5.225909091,3.189107099
